"id","creator","tick","datetime","amt","block_index"
"stamp_1mzuavy6y7vmwh2mqmktfy2jiqxteyevpn","1mzuavy6y7vmwh2mqmktfy2jiqxteyevpn","stamp","2023-06-26 15:57:25.893379","100000",788090
"pepe_1ksxpepwdpvu7yvru8uewpbfigrsu9spyw","1ksxpepwdpvu7yvru8uewpbfigrsu9spyw","pepe","2023-06-26 15:57:28.915993","1000",788127
"stamp_1ksxpepwdpvu7yvru8uewpbfigrsu9spyw","1ksxpepwdpvu7yvru8uewpbfigrsu9spyw","stamp","2023-06-26 15:57:28.915993","100000",788127
"wagmi_bc1q5q4seghf52rxcksg9z489u6fwcqv0mkd7efkqv","bc1q5q4seghf52rxcksg9z489u6fwcqv0mkd7efkqv","wagmi","2023-06-26 16:05:49.92823","1000000",789624
"pepe_17im5phc8qwfgg26zrjzvtxarstafatqlp","17im5phc8qwfgg26zrjzvtxarstafatqlp","pepe","2023-06-26 15:57:31.906439","1000",788130
"a_bc1qasxnt6h8kq2nak6t95jkujywshgc4jhy9qge6v","bc1qasxnt6h8kq2nak6t95jkujywshgc4jhy9qge6v","a","2023-06-26 15:57:32.913325","10000000000",788134
"stamp_1gxxm6zofydwmi9u7rcuj8ddjvldk6gkbg","1gxxm6zofydwmi9u7rcuj8ddjvldk6gkbg","stamp","2023-06-26 15:57:32.913325","100",788134
"kevin_bc1q3gayt8l39gjzfujz38e8utmphwpevn0jvhtp5s","bc1q3gayt8l39gjzfujz38e8utmphwpevn0jvhtp5s","kevin","2023-06-26 15:57:32.913325","840000",788135
"pepe_3jfyyqxrkhucj5kjkc9t67z3cnzfpkwwnt","3jfyyqxrkhucj5kjkc9t67z3cnzfpkwwnt","pepe","2023-06-26 15:57:34.914124","1000",788136
"kevin_14g9ccmudwtrq71btnr4unumbnnujjeea4","14g9ccmudwtrq71btnr4unumbnnujjeea4","kevin","2023-06-26 15:57:36.918102","420000",788138
"kevin_1mmdtzvjrpdz25qhxnvryucpkpvqsjzbmm","1mmdtzvjrpdz25qhxnvryucpkpvqsjzbmm","kevin","2023-06-26 15:57:37.922029","420000",788141
"bobo_13bidqdcussxs6jeycxzstq7dtpwmwr3xo","13bidqdcussxs6jeycxzstq7dtpwmwr3xo","bobo","2023-06-26 15:58:04.986226","100000",788227
"fake_bc1qjw5tnvk779qllv0fhln2vre3wdcyyajw3dg8dq","bc1qjw5tnvk779qllv0fhln2vre3wdcyyajw3dg8dq","fake","2023-06-26 15:57:55.959629","100",788185
"kevin_bc1q2e33khlk4qxjr6rddatxxxqwzu7qkhl4frysxx","bc1q2e33khlk4qxjr6rddatxxxqwzu7qkhl4frysxx","kevin","2023-06-26 15:57:38.926791","420000",788142
"stamp_1lkjcqaepzjawh24r1fz9pc3eoqs8vyuvr","1lkjcqaepzjawh24r1fz9pc3eoqs8vyuvr","stamp","2023-06-26 15:57:38.926791","1000",788142
"naka_bc1qjw5tnvk779qllv0fhln2vre3wdcyyajw3dg8dq","bc1qjw5tnvk779qllv0fhln2vre3wdcyyajw3dg8dq","naka","2023-06-26 15:57:55.959629","1",788185
"pepe_1q6nzy8hwqvzggvpaxjdlfjsnpgvpoheuh","1q6nzy8hwqvzggvpaxjdlfjsnpgvpoheuh","pepe","2023-06-26 15:57:39.936367","1000",788143
"pepe_15maddmeln24jfkn5ek4xiw9grnm7mgfdr","15maddmeln24jfkn5ek4xiw9grnm7mgfdr","pepe","2023-06-26 15:57:46.951909","2000",788187
"kevin_1htrhc8twurcvs8lybhzixztrpkxjhsels","1htrhc8twurcvs8lybhzixztrpkxjhsels","kevin","2023-06-26 15:57:37.922029","2520000",788145
"pepe_1lkjcqaepzjawh24r1fz9pc3eoqs8vyuvr","1lkjcqaepzjawh24r1fz9pc3eoqs8vyuvr","pepe","2023-06-26 15:57:36.918102","4000",788146
"pepe_1blkyhhv6hf3ymv1sngosypwjpf3juf5t7","1blkyhhv6hf3ymv1sngosypwjpf3juf5t7","pepe","2023-06-26 15:57:42.934369","1000",788146
"kevin_1bepcxzz7rrcpaqudvbp2jvkjcarvhmgkz","1bepcxzz7rrcpaqudvbp2jvkjcarvhmgkz","kevin","2023-06-26 15:57:33.913092","1260000",788295
"pepe_3q6m7dyhpjosqcswzjwgnccm68wsy9ue7c","3q6m7dyhpjosqcswzjwgnccm68wsy9ue7c","pepe","2023-06-26 15:57:46.951909","3000",788187
"pizza_bc1qw3p94y39panrv43ch47e4plm620jvry0m0gmek","bc1qw3p94y39panrv43ch47e4plm620jvry0m0gmek","pizza","2023-06-26 16:05:49.92823","11111",789624
"stamp_bc1qlw76hgx2w0h9hrcuxvfhyr8j4alrycc0a9pd3v","bc1qlw76hgx2w0h9hrcuxvfhyr8j4alrycc0a9pd3v","stamp","2023-06-26 15:58:05.985915","100",788238
"stamp_1bepcxzz7rrcpaqudvbp2jvkjcarvhmgkz","1bepcxzz7rrcpaqudvbp2jvkjcarvhmgkz","stamp","2023-06-26 15:57:25.893379","0",821163
"shib_15maddmeln24jfkn5ek4xiw9grnm7mgfdr","15maddmeln24jfkn5ek4xiw9grnm7mgfdr","shib","2023-06-26 15:57:46.951909","1000",788154
"pepe_1nfrtuuupqwmvl4bfjvk7lpsjbksznrpuz","1nfrtuuupqwmvl4bfjvk7lpsjbksznrpuz","pepe","2023-06-26 15:57:48.944657","1000",788156
"kevin_1mqy489eepbln5p3zjzj1zsdyldgiossae","1mqy489eepbln5p3zjzj1zsdyldgiossae","kevin","2023-06-26 15:57:49.946145","420000",788160
"kevin_1hdevyea6eksppz5tn3vm3t8xpwepedhea","1hdevyea6eksppz5tn3vm3t8xpwepedhea","kevin","2023-06-26 15:57:37.922029","10500000",789314
"purp_3pwt7gdj7kdx1t43l42bjypecba5nngkho","3pwt7gdj7kdx1t43l42bjypecba5nngkho","purp","2023-06-26 15:57:51.951387","1000000",788177
"stamp_bc1qvmljywtg4xfnwll3sy9j0q5atcn29alyd2ncdv","bc1qvmljywtg4xfnwll3sy9j0q5atcn29alyd2ncdv","stamp","2023-06-26 16:05:49.92823","100000",789624
"bobo_1uvoa23pzagbvvfbycad6vzhwkfjkjgbw","1uvoa23pzagbvvfbycad6vzhwkfjkjgbw","bobo","2023-06-26 15:57:53.955912","100000",788183
"kevin_bc1q2yppazjs67w5x4ujyp2g26rvdmp5yfek578q00","bc1q2yppazjs67w5x4ujyp2g26rvdmp5yfek578q00","kevin","2023-06-26 15:57:42.934369","13860000",789231
"kevin_1fueynpitjvftxtpaop5wqvtjquaeqieiz","1fueynpitjvftxtpaop5wqvtjquaeqieiz","kevin","2023-06-26 15:58:08.995354","840000",789262
"stamp_1donp8wxn7ubw5w5xmrrjliheqvpzqgpmm","1donp8wxn7ubw5w5xmrrjliheqvpzqgpmm","stamp","2023-06-26 15:58:07.988452","200000",788280
"kevin_15maddmeln24jfkn5ek4xiw9grnm7mgfdr","15maddmeln24jfkn5ek4xiw9grnm7mgfdr","kevin","2023-06-26 15:58:00.976611","420000",788191
"kevin_1fkym1cp9rfttjhng8htnqde2uv3yvwbrb","1fkym1cp9rfttjhng8htnqde2uv3yvwbrb","kevin","2023-06-26 15:57:48.944657","210000",820052
"69_1f4ctrpbbgrbc21eplha3zxttynkhutfus","1f4ctrpbbgrbc21eplha3zxttynkhutfus","69","2023-06-26 15:58:01.976902","10000",788192
"pepe_1lgpvs9gbrar16xznx6g3d4rmtxhgcmrks","1lgpvs9gbrar16xznx6g3d4rmtxhgcmrks","pepe","2023-06-26 15:58:03.981168","1000",788195
"kevin_1kst1iuaeyxe4cj1a3vc8q6tmrhmyblaot","1kst1iuaeyxe4cj1a3vc8q6tmrhmyblaot","kevin","2023-06-26 15:58:08.995354","420000",788277
"stamp_1p8tjyhwe1arfumxeejakkg4p5oqnyzvoi","1p8tjyhwe1arfumxeejakkg4p5oqnyzvoi","stamp","2023-06-26 15:58:08.995354","100000",788277
"stamp_1blkyhhv6hf3ymv1sngosypwjpf3juf5t7","1blkyhhv6hf3ymv1sngosypwjpf3juf5t7","stamp","2023-06-26 15:58:06.987744","100000",788275
"kevin_1lgpvs9gbrar16xznx6g3d4rmtxhgcmrks","1lgpvs9gbrar16xznx6g3d4rmtxhgcmrks","kevin","2023-06-26 15:58:08.995354","840000",789307
"stamp_bc1qjw5tnvk779qllv0fhln2vre3wdcyyajw3dg8dq","bc1qjw5tnvk779qllv0fhln2vre3wdcyyajw3dg8dq","stamp","2023-06-26 15:57:28.915993","200000",789622
"sato_bc1q4tyqhcef5crj5xngu5ghxhf3va08zyhw8gt3ym","bc1q4tyqhcef5crj5xngu5ghxhf3va08zyhw8gt3ym","sato","2023-06-26 16:35:39.858266","0",795999
"stamp_bc1qhfeyn8gzwk00nwpam68mckzrcmalkffqzlqc3m","bc1qhfeyn8gzwk00nwpam68mckzrcmalkffqzlqc3m","stamp","2023-06-26 15:58:02.985649","0",796026
"yotet_14vr7ryaqelkju9oknqkfsre7s5v224utt","14vr7ryaqelkju9oknqkfsre7s5v224utt","yotet","2023-06-26 15:57:46.951909","0",796152
"kevin_bc1qjw5tnvk779qllv0fhln2vre3wdcyyajw3dg8dq","bc1qjw5tnvk779qllv0fhln2vre3wdcyyajw3dg8dq","kevin","2023-06-26 15:57:31.906439","420000",816506
"stamp_17kwn8dphb3wds8k1gp8bopuacyarjns2i","17kwn8dphb3wds8k1gp8bopuacyarjns2i","stamp","2023-06-26 15:58:08.995354","0",796995
"pepe_1142uvvyqraq8entooxmxxdun2mnf7dmv3","1142uvvyqraq8entooxmxxdun2mnf7dmv3","pepe","2023-06-26 15:58:08.995354","386000",820460
"kevin_1blkyhhv6hf3ymv1sngosypwjpf3juf5t7","1blkyhhv6hf3ymv1sngosypwjpf3juf5t7","kevin","2023-06-26 15:57:33.913092","200000",820217
"stamp_bc1qpvxjq2x6p239wu9jmgknvdvqhsy7gcfve2gfv5","bc1qpvxjq2x6p239wu9jmgknvdvqhsy7gcfve2gfv5","stamp","2023-06-26 16:05:49.92823","0",820536
"stamp_15mwfqzofzfnpfnprit84yrqlebd5pswfp","15mwfqzofzfnpfnprit84yrqlebd5pswfp","stamp","2023-06-26 15:58:01.976902","700000",820664
"bobo_1bepcxzz7rrcpaqudvbp2jvkjcarvhmgkz","1bepcxzz7rrcpaqudvbp2jvkjcarvhmgkz","bobo","2023-06-26 15:57:33.913092","0",821163
"kevin_bc1qs6ya99g7qg26t3pccxk9wvatheeushuyvle693","bc1qs6ya99g7qg26t3pccxk9wvatheeushuyvle693","kevin","2023-06-26 15:58:08.995354","420000",788277
"a_bc1qfq596ysy9g3u3lajh2wqs8dlld4dw88fkv820c","bc1qfq596ysy9g3u3lajh2wqs8dlld4dw88fkv820c","a","2023-06-26 15:58:08.995354","10000000000",788277
"pepe_1donp8wxn7ubw5w5xmrrjliheqvpzqgpmm","1donp8wxn7ubw5w5xmrrjliheqvpzqgpmm","pepe","2023-06-26 15:58:08.995354","1000",788277
"pepe_17kwn8dphb3wds8k1gp8bopuacyarjns2i","17kwn8dphb3wds8k1gp8bopuacyarjns2i","pepe","2023-06-26 15:58:08.995354","1000",788277
"stamp_bc1q7rdytsnagf0dnwehl8nwdxsnn9afv2f4ezcx63","bc1q7rdytsnagf0dnwehl8nwdxsnn9afv2f4ezcx63","stamp","2023-06-26 16:03:33.554525","300000",789452
"stamp_1kst1iuaeyxe4cj1a3vc8q6tmrhmyblaot","1kst1iuaeyxe4cj1a3vc8q6tmrhmyblaot","stamp","2023-06-26 15:58:08.995354","200000",788279
"naka_1donp8wxn7ubw5w5xmrrjliheqvpzqgpmm","1donp8wxn7ubw5w5xmrrjliheqvpzqgpmm","naka","2023-06-26 15:58:09.994637","1",788279
"kevin_bc1qnm8v2h2l7q33r5uyf8yq5uku7rgw7q57pcvqm3","bc1qnm8v2h2l7q33r5uyf8yq5uku7rgw7q57pcvqm3","kevin","2023-06-26 15:57:58.991098","13020000",789231
"pepe_1kst1iuaeyxe4cj1a3vc8q6tmrhmyblaot","1kst1iuaeyxe4cj1a3vc8q6tmrhmyblaot","pepe","2023-06-26 15:58:10.996909","1000",788280
"kevin_1c5wh5kpudj8q8bh9puzsb1ijnenwpovmi","1c5wh5kpudj8q8bh9puzsb1ijnenwpovmi","kevin","2023-06-26 15:58:10.996909","420000",788280
"stamp_1m7kpy9b2fxkawnpmquvpc2bkfyyqapr3m","1m7kpy9b2fxkawnpmquvpc2bkfyyqapr3m","stamp","2023-06-26 15:58:10.996909","100000",788280
"stamp_bc1q8svuzanswe5kcqfcr462huwsypynfkjtazf053","bc1q8svuzanswe5kcqfcr462huwsypynfkjtazf053","stamp","2023-06-26 15:58:10.996909","100",788280
"kevin_1nfrtuuupqwmvl4bfjvk7lpsjbksznrpuz","1nfrtuuupqwmvl4bfjvk7lpsjbksznrpuz","kevin","2023-06-26 15:58:26.032678","1260000",789308
"kevin_1kdj1y4qqvxkpcglxbdvrnfyhdxwsysajs","1kdj1y4qqvxkpcglxbdvrnfyhdxwsysajs","kevin","2023-06-26 15:58:14.010624","0",820047
"a_bc1qyaf27xxv7ywafjpu07djhrj9c6llmj5y4xza8v","bc1qyaf27xxv7ywafjpu07djhrj9c6llmj5y4xza8v","a","2023-06-26 15:58:14.010624","10000000000",788290
"pepe_135aecyaidbf9cxk3csbgktuxfwbx6gwkf","135aecyaidbf9cxk3csbgktuxfwbx6gwkf","pepe","2023-06-26 15:58:14.010624","1000",788290
"btc_18ggcjvvfd7f8wqr5nk5wsdgrlangl8u72","18ggcjvvfd7f8wqr5nk5wsdgrlangl8u72","btc","2023-11-30 13:07:21.080304","200000",819121
"1_bc1qyaf27xxv7ywafjpu07djhrj9c6llmj5y4xza8v","bc1qyaf27xxv7ywafjpu07djhrj9c6llmj5y4xza8v","1","2023-06-26 15:58:17.007624","1",788304
"kevin_1blsweppwitxczdvocob9mhjxbqkqazxpx","1blsweppwitxczdvocob9mhjxbqkqazxpx","kevin","2023-06-26 15:58:10.996909","630000",821182
"kevin_1m5r23ceegzyjrvfpnpcxgem3ymekmnhhg","1m5r23ceegzyjrvfpnpcxgem3ymekmnhhg","kevin","2023-06-26 15:58:19.013722","420000",788313
"stamp_1pqdirmx61xra47rxxrsduwr4j87bbm4vy","1pqdirmx61xra47rxxrsduwr4j87bbm4vy","stamp","2023-06-26 15:58:21.01905","100",788320
"punks_bc1q2tkc2mrktsdmjmevf7vqh5zu496ppnwkjl0pul","bc1q2tkc2mrktsdmjmevf7vqh5zu496ppnwkjl0pul","punks","2023-06-26 16:05:49.92823","1000",789624
"kevin_bc1qv7s5mneqngq2act3p3j0vqd03gs73ur5stt6z2","bc1qv7s5mneqngq2act3p3j0vqd03gs73ur5stt6z2","kevin","2023-06-26 15:58:26.032678","420000",788445
"kevin_bc1qmhqks30f7vgxz6e6tfat9xnk2emq3lznh258ee","bc1qmhqks30f7vgxz6e6tfat9xnk2emq3lznh258ee","kevin","2023-12-14 20:08:36.936899","11333",821199
"src20_bc1q63vhwrrydez2lvz2hz5h9qqhfyjp4pghhgw3pk","bc1q63vhwrrydez2lvz2hz5h9qqhfyjp4pghhgw3pk","src20","2023-12-10 03:58:18.224522","20000",820514
"pizza_bc1qveqllgwjamls0enmagjclm7jplec5h4rvylgww","bc1qveqllgwjamls0enmagjclm7jplec5h4rvylgww","pizza","2023-06-26 16:05:49.92823","11111",789624
"kevin_3biytymmwhuukodkuvrlehaxyjfmxhbua4","3biytymmwhuukodkuvrlehaxyjfmxhbua4","kevin","2023-06-26 15:58:26.032678","420000",788445
"pepe_bc1qcduuc9xddy5rl2pqqlr95sygmgl6uzx9x3swf3","bc1qcduuc9xddy5rl2pqqlr95sygmgl6uzx9x3swf3","pepe","2023-12-10 04:17:38.856179","10000",820514
"stamp_bc1q9vk2enzdltfy202rsf35qfzn5hl3ufjpp3esjn","bc1q9vk2enzdltfy202rsf35qfzn5hl3ufjpp3esjn","stamp","2023-11-30 13:07:21.080304","0",819123
"pepe_bc1qdj529q4xhxh86zkckvwp4z5wj56q3740sntxlh","bc1qdj529q4xhxh86zkckvwp4z5wj56q3740sntxlh","pepe","2023-12-14 20:08:36.936899","1000",821199
